Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
25.10.2021 00:00:00;Niederösterreich;3;1690879;723;134536;4923;291,1503;1;2447;357;124722
25.10.2021 00:00:00;Oberösterreich;4;1495608;754;151079;5855;391,4796;1;2161;641;140640
25.10.2021 00:00:00;Salzburg;5;560710;422;62655;2384;425,1752;0;775;164;58583
25.10.2021 00:00:00;Steiermark;6;1247077;381;98431;3259;261,3311;5;2574;300;91400
25.10.2021 00:00:00;Tirol;7;760105;248;73815;1813;238,5197;4;995;229;70466
25.10.2021 00:00:00;Vorarlberg;8;399237;134;35763;816;204,3899;0;405;55;34308
25.10.2021 00:00:00;Wien;9;1920949;475;176078;3477;181,0043;1;2945;348;162874
25.10.2021 00:00:00;Österreich;10;8932664;3449;801557;24572;275,0803;12;13840;2211;748048
26.10.2021 00:00:00;Burgenland;1;296010;115;21323;524;177,021;0;432;64;20128
26.10.2021 00:00:00;Kärnten;2;562089;328;48320;1648;293,192;1;1107;218;45209
26.10.2021 00:00:00;Niederösterreich;3;1690879;901;135437;5124;303,0377;7;2454;569;125291
26.10.2021 00:00:00;Oberösterreich;4;1495608;1066;152145;5822;389,2731;5;2166;624;141264
26.10.2021 00:00:00;Salzburg;5;560710;411;63066;2413;430,3472;3;778;209;58792
26.10.2021 00:00:00;Steiermark;6;1247077;545;98976;3303;264,8593;3;2577;293;91693
26.10.2021 00:00:00;Tirol;7;760105;334;74149;1895;249,3077;1;996;210;70676
26.10.2021 00:00:00;Vorarlberg;8;399237;250;36013;962;240,9596;0;405;32;34340
26.10.2021 00:00:00;Wien;9;1920949;535;176613;3388;176,3712;5;2950;669;163543
26.10.2021 00:00:00;Österreich;10;8932664;4485;806042;25079;280,7561;25;13865;2888;750936
27.10.2021 00:00:00;Burgenland;1;296010;102;21425;557;188,1693;1;433;48;20176
27.10.2021 00:00:00;Kärnten;2;562089;256;48576;1647;293,0141;0;1107;111;45320
27.10.2021 00:00:00;Niederösterreich;3;1690879;990;136427;5406;319,7154;8;2462;507;125798
