date_long;total_infections;daily_infections
2022-01-15T08:00:00+01:00;1431786;17446
2022-01-16T08:00:00+01:00;1446803;15017
2022-01-17T08:00:00+01:00;1463306;16503
2022-01-18T08:00:00+01:00;1480649;17343
2022-01-19T08:00:00+01:00;1511719;31070
2022-01-20T08:00:00+01:00;1537311;25592
2022-01-21T08:00:00+01:00;1565893;28582
2022-01-22T08:00:00+01:00;1594068;28175
2022-01-23T08:00:00+01:00;1616647;22579
2022-01-24T08:00:00+01:00;1641259;24612
2022-01-25T08:00:00+01:00;1666174;24915
2022-01-26T08:00:00+01:00;1703547;37373
2022-01-27T08:00:00+01:00;1741983;38436
2022-01-28T08:00:00+01:00;1781486;39503
2022-01-29T08:00:00+01:00;1814214;32728
2022-01-30T08:00:00+01:00;1840568;26354
2022-01-31T08:00:00+01:00;1869808;29240
